Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
322,Crippen C13,SMARTS 1,0.34790279459072665,1,1,[cH0]-[A;!C;!N;!O;!S;!F;!Cl;!Br;!I;!#1],,
323,Crippen C14,SMARTS 1,0.05579495371020861,133,92,[c][#9],,
324,Crippen C15,SMARTS 1,0.22821486276445166,1752,587,[c][#17],,
325,Crippen C16,SMARTS 1,0.23420705482634427,261,120,[c][#35],,
326,Crippen C17,SMARTS 1,0.27844307643536065,51,35,[c][#53],,
327,Crippen C18,SMARTS 1,0.07691926549107064,10583,2229,[cH],,
328,Crippen C19,SMARTS 1,0.14098463527230579,885,340,[c](:a)(:a):a,,
329,Crippen C20,SMARTS 1,0.10899413942422226,494,246,[c](:a)(:a)-a,,
330,Crippen C21,SMARTS 1,0.044980794665191295,1690,1214,[c](:a)(:a)-C,,
331,Crippen C22,SMARTS 1,0.10194095327240495,827,658,[c](:a)(:a)-N,,
332,Crippen C23,SMARTS 1,0.10367511442031525,1062,744,[c](:a)(:a)-O,,
333,Crippen C24,SMARTS 1,-0.11162105388872479,223,188,[c](:a)(:a)-S,,
334,Crippen C25,SMARTS 1,-0.21255440111741394,128,98,"[c](:a)(:a)=[C,N,O]",,
335,Crippen C26,SMARTS 1,0.054750674069281725,14,12,[C](=C)(a)[A;!#1],,
336,Crippen C26,SMARTS 2,0.13790272413840743,10,10,[C](=C)(c)a,,
337,Crippen C26,SMARTS 3,0.12099697704089576,57,53,[CH1](=C)a,,
338,Crippen C26,SMARTS 4,0.0,0,0,[C]=c,,
339,Crippen C27,SMARTS 1,0.07102190642884026,46,6,[CX4][A;!C;!N;!O;!P;!S;!F;!Cl;!Br;!I;!#1],,
340,Crippen CS,SMARTS 1,0.09698117814862087,31091,3338,[#6],,
341,Crippen H1,SMARTS 1,0.0,0,0,"[#1][#6,#1]",,
342,Crippen H2,SMARTS 1,0.0,0,0,"[#1]O[CX4,c]",,
343,Crippen H2,SMARTS 2,0.0,0,0,[#1]O[!C;!N;!O;!S],,
344,Crippen H2,SMARTS 3,0.0,0,0,[#1][!C;!N;!O],,
345,Crippen H3,SMARTS 1,-1.8394669539332658e-05,12,11,[#1][#7],,
346,Crippen H3,SMARTS 2,0.0,0,0,[#1]O[#7],,
347,Crippen H4,SMARTS 1,0.0,0,0,"[#1]OC=[#6,#7,O,S]",,
348,Crippen H4,SMARTS 2,0.0,0,0,"[#1]O[O,S]",,
349,Crippen HS,SMARTS 1,-1.8394669539332658e-05,12,11,[#1],,
350,Crippen N1,SMARTS 1,-0.3488568599130398,256,241,[NH2+0][A;!#1],,
351,Crippen N2,SMARTS 1,-0.04831783605512746,370,322,[NH+0]([A;!#1])[A;!#1],,
352,Crippen N3,SMARTS 1,-0.4360319357367336,212,193,[NH2+0]a,,
353,Crippen N4,SMARTS 1,-0.1588255982601435,234,222,"[NH1+0]([!#1;A,a])a",,
354,Crippen N5,SMARTS 1,-1.8394669539332658e-05,12,11,"[NH+0]=[!#1;A,a]",,
